Overtone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
Ala(A),60,222,235,268,331,417,492,560,635,733,804,858,947,1030,1111,1150,1194,1244,1341,1361,1417,1431,1508,1514,1644,1839,2914,3058,3130,3153,3508,3602,3753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cys(C),53,101,178,206,249,276,338,429,485,567,639,691,752,789,848,873,946,1061,1132,1182,1220,1259,1283,1348,1376,1417,1472,1635,1846,2676,2904,3101,3168,3522,3619,3751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asp(D),45,70,87,154,239,291,335,365,441,488,523,596,621,660,679,731,860,875,906,950,1055,1137,1172,1185,1223,1251,1288,1348,1372,1409,1440,1459,1636,1832,1846,2944,3076,3123,3518,3615,3751,3754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glu(E),20,41,65,102,112,215,240,245,309,387,432,509,575,599,630,655,717,758,800,846,893,939,968,1024,1059,1124,1144,1174,1220,1256,1281,1306,1343,1366,1383,1395,1424,1492,1510,1683,1840,1850,3038,3051,3061,3122,3164,3490,3568,3745,3753,,,,,,,,,,,,,,,,,,,,,,,
Phe(F),29,54,58,94,181,241,290,295,315,357,417,476,535,592,600,624,636,715,759,770,799,837,860,865,924,957,972,998,1017,1035,1057,1082,1107,1154,1170,1188,1209,1229,1249,1327,1348,1359,1363,1371,1424,1493,1498,1540,1641,1656,1663,1865,3038,3086,3105,3169,3175,3186,3194,3206,3491,3582,3754,,,,,,,,,,,
Gly(G),66,240,290,455,544,603,707,833,853,1024,1088,1144,1237,1301,1366,1436,1505,1662,1857,2932,3117,3506,3596,3756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
His(H),27,74,80,127,219,276,309,323,343,417,505,577,632,675,721,747,757,803,844,865,903,938,979,994,1024,1119,1134,1152,1156,1184,1265,1267,1290,1308,1362,1378,1393,1402,1441,1493,1515,1619,1674,1842,2997,3045,3130,3248,3257,3493,3562,3576,3749,,,,,,,,,,,,,,,,,,,,,
Ile(I),52,59,82,149,216,224,256,277,290,314,362,405,433,539,633,660,759,790,844,856,898,968,986,998,1049,1077,1125,1152,1158,1188,1236,1278,1307,1334,1373,1378,1389,1425,1427,1435,1502,1511,1514,1523,1525,1675,1831,3010,3023,3040,3048,3075,3095,3109,3116,3128,3482,3566,3734,,,,,,,,,,,,,,,
Lys(K),43,61,63,86,135,150,187,227,243,297,311,375,390,462,525,614,655,745,753,782,851,875,889,951,964,1019,1039,1054,1074,1097,1118,1144,1174,1247,1250,1286,1306,1334,1347,1350,1373,1398,1402,1411,1425,1496,1501,1509,1525,1673,1682,1838,3003,3018,3028,3032,3038,3058,3074,3080,3100,3475,3486,3559,3565,3745,,,,,,,,
Leu(L),14,39,100,139,226,239,245,259,299,341,392,426,440,533,610,646,741,807,850,871,934,945,956,970,985,1084,1131,1172,1185,1197,1226,1288,1315,1342,1366,1387,1394,1403,1417,1435,1495,1505,1511,1521,1527,1676,1835,3016,3031,3036,3054,3063,3086,3098,3105,3109,3117,3496,3578,3748,,,,,,,,,,,,,,
Met(M),14,38,68,100,119,178,185,252,259,292,359,406,523,588,654,712,742,756,788,844,928,948,975,987,1006,1072,1109,1155,1187,1249,1266,1312,1334,1369,1371,1388,1402,1483,1498,1505,1512,1677,1837,3033,3043,3050,3052,3108,3126,3133,3152,3498,3581,3747,,,,,,,,,,,,,,,,,,,,
Asn(N),14,26,93,151,206,238,289,325,377,424,502,546,581,613,642,696,756,846,877,917,920,1043,1085,1122,1159,1214,1259,1291,1356,1366,1398,1441,1472,1626,1668,1786,1848,3038,3080,3095,3493,3583,3604,3745,3754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro(P),21,56,200,269,299,418,550,582,624,639,728,800,850,890,928,932,973,991,1084,1100,1129,1174,1196,1224,1264,1276,1318,1333,1349,1385,1420,1442,1500,1518,1538,1848,2939,2965,3071,3079,3084,3122,3143,3563,3752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gln(Q),27,35,70,87,120,156,222,247,268,324,383,431,529,542,592,617,629,695,766,786,829,845,900,954,1048,1067,1098,1102,1151,1195,1250,1266,1311,1340,1367,1373,1414,1431,1482,1506,1625,1657,1802,1852,3030,3051,3072,3077,3113,3502,3596,3605,3747,3755,,,,,,,,,,,,,,,,,,,,
Arg(R),25,40,52,73,94,109,171,189,208,254,317,360,415,431,442,533,561,607,641,682,706,722,812,824,878,896,919,940,1000,1026,1061,1129,1146,1160,1207,1246,1253,1275,1295,1308,1374,1385,1426,1439,1459,1489,1523,1561,1562,1580,1622,1633,1635,1662,1779,1818,1906,2026,3164,3177,3193,3221,3231,3239,3260,3746,3765,3802,3829,3841,3915,4125,,
Ser(S),36,102,196,206,266,291,349,456,521,602,624,767,795,880,979,1032,1098,1110,1148,1227,1258,1343,1379,1395,1406,1436,1522,1671,1842,2967,2980,3132,3493,3578,3754,3807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr(T),51,96,208,233,266,312,324,364,401,476,491,546,574,642,718,838,869,907,960,1077,1092,1137,1143,1184,1234,1282,1306,1339,1381,1392,1409,1461,1511,1512,1650,1842,2947,2987,3052,3126,3157,3518,3616,3746,3808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Val(V),44,67,167,210,223,251,284,339,356,387,425,529,611,631,762,818,838,898,930,953,973,1084,1116,1125,1182,1193,1244,1296,1359,1362,1378,1411,1423,1438,1499,1507,1518,1525,1656,1853,3024,3036,3044,3079,3104,3111,3116,3126,3504,3601,3753,,,,,,,,,,,,,,,,,,,,,,,
